                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.64111,                 1.2219,                 1.1077,                0.90028,                 0.8599,                0.95951,                0.74538,                0.97607,                 1.0197,                 1.3615,             0.00011041,             0.00011041,             0.00011041
                      1,                0.67163,                 1.2124,                 1.1345,                0.86614,                0.85939,                 0.9358,                 0.7199,                0.96752,                 1.0625,                 1.3567,             0.00021411,             0.00021411,             0.00021411
                      2,                0.68352,                 1.2729,                   1.15,                0.85372,                 0.8759,                0.93548,                0.75764,                0.84694,                 1.0942,                 1.2396,             0.00031047,             0.00031047,             0.00031047
                      3,                0.69745,                   1.26,                 1.1458,                0.79274,                 0.8943,                 0.9344,                0.77736,                0.74035,                 1.0012,                 1.1478,             0.00030003,             0.00030003,             0.00030003
                      4,                0.68811,                 1.1949,                 1.1348,                0.84093,                0.86964,                0.93722,                0.77063,                0.79493,                0.97465,                 1.2021,             0.00030003,             0.00030003,             0.00030003
                      5,                0.68757,                 1.1793,                 1.1364,                0.87318,                 0.8428,                0.92454,                0.76574,                0.77533,                0.99187,                 1.2049,             0.00028904,             0.00028904,             0.00028904
                      6,                 0.6964,                 1.1874,                 1.1478,                0.84215,                0.84385,                0.92147,                0.72482,                0.92864,                 1.0072,                 1.3365,             0.00027806,             0.00027806,             0.00027806
                      7,                0.69748,                 1.1401,                 1.1454,                0.89583,                0.84277,                0.93376,                0.73872,                0.88765,                0.95691,                 1.3057,             0.00026707,             0.00026707,             0.00026707
                      8,                0.69128,                 1.1071,                 1.1439,                0.83293,                0.85733,                0.92487,                0.78525,                0.72807,                0.96373,                 1.1526,             0.00025608,             0.00025608,             0.00025608
                      9,                0.67008,                 1.0726,                 1.1267,                 0.8526,                0.88056,                0.95172,                 0.7622,                0.87657,                0.93265,                 1.2838,             0.00024509,             0.00024509,             0.00024509
                     10,                0.67952,                 1.0376,                 1.1335,                  0.912,                0.90237,                0.94616,                0.75254,                0.89567,                 0.8113,                 1.3144,              0.0002341,              0.0002341,              0.0002341
